dom,house,Haus
mieszkanie,apartment,Wohnung
pokój,room,Zimmer
kuchnia,kitchen,Küche
łazienka,bathroom,Badezimmer
okno,window,Fenster
drzwi,door,Tür
stół,table,Tisch
krzesło,chair,Stuhl
łóżko,bed,Bett
szafa,wardrobe,Schrank
kot,cat,Katze
pies,dog,Hund
ptak,bird,Vogel
ryba,fish,Fisch
koń,horse,Pferd
krowa,cow,Kuh
świnia,pig,Schwein
mysz,mouse,Maus
lew,lion,Löwe
tygrys,tiger,Tiger
słoń,elephant,Elefant
człowiek,person,Mensch
dziecko,child,Kind
kobieta,woman,Frau
mężczyzna,man,Mann
rodzina,family,Familie
przyjaciel,friend,Freund
miasto,city,Stadt
wieś,village,Dorf
ulica,street,Straße
droga,road,Weg
most,bridge,Brücke
park,park,Park
las,forest,Wald
rzeka,river,Fluss
jezioro,lake,See
morze,sea,Meer
góra,mountain,Berg
niebo,sky,Himmel
słońce,sun,Sonne
księżyc,moon,Mond
gwiazda,star,Stern
ogień,fire,Feuer
woda,water,Wasser
ziemia,earth,Erde
powietrze,air,Luft
jedzenie,food,Essen
chleb,bread,Brot
masło,butter,Butter
ser,cheese,Käse
mleko,milk,Milch
jajko,egg,Ei
mięso,meat,Fleisch
kurczak,chicken,Huhn
ryż,rice,Reis
ziemniak,potato,Kartoffel
pomidor,tomato,Tomate
ogórek,cucumber,Gurke
cebula,onion,Zwiebel
czosnek,garlic,Knoblauch
jabłko,apple,Apfel
gruszka,pear,Birne
banan,banana,Banane
pomarańcza,orange,Orange
truskawka,strawberry,Erdbeere
cukier,sugar,Zucker
sól,salt,Salz
pieprz,pepper,Pfeffer
kawa,coffee,Kaffee
herbata,tea,Tee
piwo,beer,Bier
wino,wine,Wein
czas,time,Zeit
dzień,day,Tag
noc,night,Nacht
rano,morning,Morgen
wieczór,evening,Abend
tydzień,week,Woche
miesiąc,month,Monat
rok,year,Jahr
dzisiaj,today,heute
jutro,tomorrow,morgen
wczoraj,yesterday,gestern
praca,work,Arbeit
firma,company,Firma
biuro,office,Büro
szkoła,school,Schule
uniwersytet,university,Universität
książka,book,Buch
zeszyt,notebook,Heft
długopis,pen,Kugelschreiber
ołówek,pencil,Bleistift
nauczyciel,teacher,Lehrer
student,student,Student
pytanie,question,Frage
odpowiedź,answer,Antwort
problem,problem,Problem
pomysł,idea,Idee
język,language,Sprache
słowo,word,Wort
zdanie,sentence,Satz
komputer,computer,Computer
telefon,phone,Telefon
internet,internet,Internet
program,program,Programm
system,system,System
dane,data,Daten
plik,file,Datei
klawiatura,keyboard,Tastatur
ekran,screen,Bildschirm
myszka,mouse,Maus